CATEGORY,UPGRADE_ID,NAME,TIER_1,TIER_2,TIER_3,TIER_4,TIER_5,NOTES
Weapons,turret_damage,Turret Damage," +20% damage"," +40% total"," +70% total"," +100% total"," +140% total","Core DPS boost"
Weapons,turret_fire_rate,Turret Fire Rate," +15% RPS"," +30% total"," +50% total"," +75% total"," +100% total","Stacks multiplicatively"
Weapons,turret_range,Turret Range," +25% range"," +50% total"," +100% total"," +150% total"," +200% total","Hits farther threats"
Weapons,multi_shot,Multi-Shot,"Fires 2 proj.","Fires 3 proj.","Fires 4 proj.","Fires 5 proj.","Fires 6 proj.","Parallel fire"
Weapons,shotgun,Flak Shotgun,"Unlock: 5 Pellets","8 Pellets, +Range","12 Pellets","16 Pellets, +Range","20 Pellets, max range","Close-range burst"
Weapons,static_weapons,Static Weapons,"Unlock Forward Laser","Add Side Lasers","Add Rear Laser","Dual Rear Stream","Dual Front Stream","Always-on turrets"
Weapons,homing_missiles,Homing Missiles,"2 missiles, 1 damage (auto-fire)","2 missiles, 2 damage","2 missiles, 3 damage","2 missiles, 4 damage","2 missiles, 5 damage","Auto-fires tracking missiles. Stacks with meta upgrade to 4 missiles."
Weapons,ciws,CIWS,"Auto-targets 400u, 1 dmg","2 dmg","3 dmg","4 dmg","5 dmg","Rapid-fire defense. Targets all enemies."
Weapons,volley_shot,Volley Shot,"Auto-fires 3-shot burst every 2s","4-shot burst every 2s","5-shot burst every 2s","6-shot burst every 2s","7-shot burst every 2s","Automatic burst damage. No input required."
Weapons,chain_lightning,Chain Lightning,"Projectiles chain to 1 enemy (200u)","Chain to 2 enemies (250u)","Chain to 3 enemies (300u)","Chain to 4 enemies (350u)","Chain to 5 enemies (400u)","Arc damage hits grouped enemies. Great vs swarms."
Weapons,backstabber,Backstabber," +50% damage from behind"," +100% damage from behind"," +150% damage, slow enemies 2s"," +200% damage, slow 3s"," +250% damage, slow 4s","Positioning matters. Flanking = huge damage."
Shields & Hull,hull_strength,Hull Strength," +25 Max HP, Heal 25"," +25 Max HP, Heal 25"," +25 Max HP, Heal 25"," +25 Max HP, Heal 25"," +25 Max HP, Heal 25","Increases survival"
Shields & Hull,segment_count,Segment Count," +2 segments (total 10)"," +4 total (14)"," +8 total (18)"," +12 total (26)"," +16 total (30)","Larger shield bubble"
Shields & Hull,outer_shield,Outer Shield,"6 purple segments","8 segments (restore all)","12 segments (restore all)","16 segments (restore all)","20 segments (restore all)","Extra rotating ring (1 HP/seg)"
Shields & Hull,shield_regen,Shield Regen,"Regen 1 seg./5s","1 seg./3s","1 seg./1s","1 seg./0.75s","1 seg./0.5s","Sustain in long fights"
Shields & Hull,hp_regen,Hull Regen,"Regen 1 HP / 5s","Regen 2 HP / 5s","Regen 3 HP / 5s","Regen 4 HP / 5s","Regen 5 HP / 5s","Slow passive healing"
Shields & Hull,reactive_shield,Reactive Shield,"Shield segments restore on kill","Restore 2 segments per kill","Restore 3 segments, +25% shield HP","Restore 4 segments, +50% shield HP","Restore 5 segments, +75% shield HP","Offensive play heals shields. Aggressive sustain."
Shields & Hull,damage_mitigation,Damage Mitigation," -10% damage taken, +5% move speed"," -20% damage taken, +10% move speed"," -30% damage taken, +15% move speed"," -40% damage taken, +20% move speed"," -50% damage taken, +25% move speed","Tanky AND fast. General survivability."
Mobility,speed,Speed," +15% max speed"," +30% total"," +50% total"," +75% total"," +100% total","Dodge better"
Mobility,turbo_boost,Turbo Boost," +50% speed for 2s"," +50% speed for 3.5s"," +50% speed for 5s"," +50% speed for 6.5s"," +50% speed for 8s","Press E / Gamepad X"
Specials,area_nuke,Area Nuke,"Auto-fire 500u blast (5 dmg)","600u range, 10 dmg","800u range, 15 dmg","1000u range, 20 dmg","1200u range, 25 dmg","Auto-activates when ready"
Specials,invincibility,Phase Shield,"3s Active / 20s CD","5s Active / 15s CD","7s Active / 10s CD + Regen","9s Active / 8s CD + Regen","12s Active / 6s CD + Regen","Auto-cycling invulnerability"
Specials,slow_field,Stasis Field,"Stops roamers 3s","Stops 5s, +25% Area","Stops 8s, +25% Area","Stops 10s, +25% Area","Stops 12s, +50% Area","Freezes enemies"
Specials,time_dilation,Time Dilation,"Enemies move 20% slower near you","40% slow, 300u radius","60% slow, 450u radius","80% slow, 600u radius","100% slow (freeze), 750u radius","Passive danger zone. Easier dodging."
Specials,momentum,Momentum,"Moving increases fire rate (+10%)"," +20% fire rate, +15% damage"," +30% fire rate, +25% damage"," +40% fire rate, +35% damage"," +50% fire rate, +50% damage","Keep moving to maximize DPS. Hit-and-run style."
Drones,companion_drones,Companion Drones,"Unlock Shooter Drone","Add Shield Drone","Add Heal Drone","Add 2nd Shooter Drone","Add 2nd Shield Drone","Orbiting support bots"
